Villes,Mots-clés,position du média,Nom du média,Titre de l'article,Date de publication,Journée de différence,URL,date et heure saisie
Alma ,santé publique,10,ICI.Radio-Canada.ca,23 cas de COVID-19 de plus : la santé publique régionale très préoccupée | Coronavirus,2020-10-08,268,https://ici.radio-canada.ca/nouvelle/1739706/augmentation-cas-coronavirus-bilan,2021-07-03 09:18:39
Alma ,santé publique,11,NecrologieCanada,BOUCHARD Robert 1933 2021,2021-06-05,28,https://necrocanada.com/deces-2021/bouchard-robert-1933-2021/,2021-07-03 09:18:39
Alma ,santé publique,12,NecrologieCanada,GILBERT Laurette 1942 2021,2021-06-08,25,https://necrocanada.com/deces-2021/gilbert-laurette-1942-2021/,2021-07-03 09:18:39
Alma ,santé publique,13,ICI.Radio-Canada.ca,Vaccin contre la COVID-19 : près de 4500 rendez-vous pris en quelques heures | Coronavirus,2021-03-02,123,https://ici.radio-canada.ca/nouvelle/1774546/campagne-vaccination-coronavirus-ciusss,2021-07-03 09:18:40
Alma ,santé publique,14,Le Journal de Québec,"GARON, Rita Gauthier",2021-06-23,10,https://www.journaldequebec.com/2021/06/23/f68569480a/garon-rita-gauthier,2021-07-03 09:18:40
Alma ,santé publique,15,TVA Nouvelles,Les bals de finissants autorisés dès le 8 juillet,2021-06-08,25,https://www.tvanouvelles.ca/2021/06/08/les-bals-de-finissants-autorises-des-le-8-juillet,2021-07-03 09:18:40
Alma ,santé publique,16,Le Quotidien - Groupe Capitales Médias,"Le Saguenay–Lac-Saint-Jean en rouge? Plus que probable, selon la Santé publique",2020-10-19,257,https://www.lequotidien.com/actualites/le-saguenaylac-saint-jean-en-rouge-plus-que-probable-selon-la-sante-publique-ccc7738abd5786ba96a8b93eea1661b7,2021-07-03 09:18:40
Alma ,santé publique,17,NecrologieCanada,VILLENEUVE Louis-Marie 1930 2021,2021-06-04,29,https://necrocanada.com/deces-2021/villeneuve-louis-marie-1930-2021/,2021-07-03 09:18:40
Alma ,santé publique,18,NecrologieCanada,TREMBLAY Juliette 1917 2021,2021-06-08,25,https://necrocanada.com/deces-2021/tremblay-juliette-1917-2021/,2021-07-03 09:18:41
Alma ,santé publique,19,NecrologieCanada,FORTIN Moïsette 1951 2021,2021-06-11,22,https://necrocanada.com/deces-2021/fortin-moisette-1951-2021/,2021-07-03 09:18:41
Alma ,santé publique,20,ICI.Radio-Canada.ca,Un troisième CLSC frappé par une éclosion de COVID-19 | Coronavirus,2020-12-10,205,https://ici.radio-canada.ca/nouvelle/1755947/sante-publique-coronavirus-chicoutimi-nord,2021-07-03 09:18:41
Alma ,santé publique,21,Le Quotidien - Groupe Capitales Médias,La Santé publique ferme temporairement le restaurant Les 400 Coups,2021-04-18,76,https://www.lequotidien.com/actualites/la-sante-publique-ferme-temporairement-le-restaurant-les-400-coups-96044274bba78940714627ab286a57d2,2021-07-03 09:18:41
Alma ,santé publique,22,NecrologieCanada,Robert Mathieu 19362021,2021-06-29,4,https://necrocanada.com/deces-2021/robert-mathieu-19362021/,2021-07-03 09:18:41
Alma ,santé publique,23,Le Journal de Québec,"HUOT, Mercedes Pichette",2021-06-10,23,https://www.journaldequebec.com/2021/06/10/61532e7e75/huot-mercedes-pichette,2021-07-03 09:18:41
Alma ,santé publique,24,ICI.Radio-Canada.ca,Vaccination : plus aucun rendez-vous disponible en ligne | Coronavirus,2021-02-26,127,https://ici.radio-canada.ca/nouvelle/1773752/vaccin-internet-rendez-vous-disponibilite-85-ans,2021-07-03 09:18:42
Alma ,santé publique,25,NecrologieCanada,DESCHÊNES Lomer 1932 2020,2021-06-19,14,https://necrocanada.com/deces-2021/deschenes-lomer-1932-2020/,2021-07-03 09:18:42
Alma ,covid OR COVID,1,ICI.Radio-Canada.ca,"Un surplus de 5,8 M$ à Alma en 2020",2021-06-07,26,https://ici.radio-canada.ca/nouvelle/1799687/conseil-municipal-rapport-financier,2021-07-03 09:18:52
